0 --> 4446
1 --> 10611
2 --> 10756
3 --> 4447
4 --> 11542
5 --> 11543
6 --> 11540
7 --> 11541
8 --> 11546
9 --> 11547
10 --> 11544
11 --> 11545
12 --> 11548
13 --> 11549
14 --> 643
15 --> 5988
16 --> 5989
17 --> 5982
18 --> 4642
19 --> 5980
20 --> 5981
21 --> 5986
22 --> 5987
23 --> 5984
24 --> 5985
25 --> 3380
26 --> 964
27 --> 10613
28 --> 820
29 --> 6342
30 --> 6796
31 --> 6797
32 --> 6794
33 --> 6795
34 --> 6792
35 --> 6793
36 --> 6790
37 --> 6791
38 --> 6798
39 --> 6799
40 --> 8804
41 --> 14318
42 --> 270
43 --> 271
44 --> 272
45 --> 273
46 --> 274
47 --> 275
48 --> 276
49 --> 277
50 --> 278
